instances,vbih,bs,ig
testes/in02_118.dat,4973,5017,5020
testes/in02_119.dat,5458,5505,5501
testes/in02_120.dat,4618,4657,4638
testes/in02_178.dat,7847,7902,8000
testes/in02_179.dat,7668,7726,7767
testes/in02_180.dat,8007,8022,8121
testes/in06_118.dat,5330,5342,5415
testes/in06_119.dat,5075,5089,5150
testes/in06_120.dat,5595,5636,5639
testes/in06_178.dat,7732,7762,7843
testes/in06_179.dat,7917,7945,8038
testes/in06_180.dat,7924,7969,8007
testes/in10_118.dat,5964,5977,6022
testes/in10_119.dat,5716,5749,5741
testes/in10_120.dat,5996,6014,6076
testes/in10_178.dat,8716,8744,8816
testes/in10_179.dat,8377,8412,8518
testes/in10_180.dat,7662,7680,7747
testes/in14_118.dat,5311,5285,5333
testes/in14_119.dat,5923,5904,5969
testes/in14_120.dat,6000,6016,6029
testes/in14_178.dat,8574,8583,8652
testes/in14_179.dat,8301,8285,8397
testes/in14_180.dat,8224,8162,8305
testes/in18_121.dat,13481,13649,13480
testes/in18_122.dat,13662,13704,13648
testes/in18_123.dat,13797,14027,13797
testes/in18_178.dat,8120,8000,8104
testes/in18_179.dat,7354,7268,7429
testes/in18_180.dat,8295,8243,8349
